rep,res_x,res_y,scale,global_block_x,global_block_y,runtime
0,20000,20000,0.5,1,1,7040762.0
1,20000,20000,0.5,1,1,6236853.0
2,20000,20000,0.5,1,1,6193128.0
3,20000,20000,0.5,1,1,6096630.0
4,20000,20000,0.5,1,1,6185470.0
0,20000,20000,0.5,32,1,1385822.0
1,20000,20000,0.5,32,1,471228.0
2,20000,20000,0.5,32,1,477368.0
3,20000,20000,0.5,32,1,429533.0
4,20000,20000,0.5,32,1,481722.0
0,20000,20000,0.5,1,32,1376623.0
1,20000,20000,0.5,1,32,465851.0
2,20000,20000,0.5,1,32,472584.0
3,20000,20000,0.5,1,32,424923.0
4,20000,20000,0.5,1,32,476005.0
0,20000,20000,0.5,128,1,1309246.0
1,20000,20000,0.5,128,1,408118.0
2,20000,20000,0.5,128,1,370440.0
3,20000,20000,0.5,128,1,414492.0
4,20000,20000,0.5,128,1,366562.0
0,20000,20000,0.5,1024,1,1401600.0
1,20000,20000,0.5,1024,1,495888.0
2,20000,20000,0.5,1024,1,503246.0
3,20000,20000,0.5,1024,1,455068.0
4,20000,20000,0.5,1024,1,503425.0
