rep,res_x,res_y,scale,global_block_x,global_block_y,runtime
0,1000,1000,0.5,-1,-1,159161.0
1,1000,1000,0.5,-1,-1,144308.0
2,1000,1000,0.5,-1,-1,144264.0
3,1000,1000,0.5,-1,-1,144203.0
4,1000,1000,0.5,-1,-1,143995.0
0,2000,2000,0.5,-1,-1,577843.0
1,2000,2000,0.5,-1,-1,568225.0
2,2000,2000,0.5,-1,-1,567912.0
3,2000,2000,0.5,-1,-1,566837.0
4,2000,2000,0.5,-1,-1,567891.0
0,4000,4000,0.5,-1,-1,2263283.0
1,4000,4000,0.5,-1,-1,2259594.0
2,4000,4000,0.5,-1,-1,2258413.0
3,4000,4000,0.5,-1,-1,2275342.0
4,4000,4000,0.5,-1,-1,2263686.0
0,8000,8000,0.5,-1,-1,9024841.0
1,8000,8000,0.5,-1,-1,9024128.0
2,8000,8000,0.5,-1,-1,9035368.0
3,8000,8000,0.5,-1,-1,9020290.0
4,8000,8000,0.5,-1,-1,9020059.0
0,16000,16000,0.5,-1,-1,36126034.0
1,16000,16000,0.5,-1,-1,36081415.0
2,16000,16000,0.5,-1,-1,36080905.0
3,16000,16000,0.5,-1,-1,36046091.0
4,16000,16000,0.5,-1,-1,36132834.0
